zipCode,city,district,additionalInfo,street,houseNo,format1,format2,keyWord,locationType,locationName,primaryKeyDeliverySystem,primaryKeyZipRegion,systemID,primaryKeyPF,pfServicetypes,pfAccessibilitytypes,pfClosureperiods,pfOtherinfos,poststationID,opening_hours,latitude,longitude
13129,Berlin,Blankenburg,,Bahnhofstr.,45,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,Spektrum Lebensfreude,4338275,511.0,8,8-4338275,[],[],[],"[{'type': 'Bezeichnung', 'content': 'Berlin-Blankenburg'}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '18:00'}, {'type': 'tt_timestamp', 'content': '35172443056739088'}]",,Mo: 09:30-18:00; Tu: 09:30-18:00; We: 09:30-18:00; Th: 09:30-18:00; Fr: 09:30-18:00; Sa: 09:30-14:00,52.5915009,13.4526808
13051,Berlin,Neu-Hohenschönhausen,,Wustrower Str.,20,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,Wustrower Back & Snack,4337535,642.0,8,8-4337535,[],[],[],"[{'type': 'Bezeichnung', 'content': 'Berlin-Hohenschönhausen 11'}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '17:30'}, {'type': 'tt_timestamp', 'content': '35172443056739088'}]",,Mo: 08:00-17:30; Tu: 08:00-17:30; We: 08:00-17:30; Th: 08:00-17:30; Fr: 08:00-17:30; Sa: 09:00-14:00,52.5664179,13.5086499
13403,Berlin,Reinickendorf,,Quäkerstr.,2,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,Änderungsschneiderei,4135238,539.0,8,8-4135238,[],[],"[{'type': 'holiday', 'fromDate': '2025-09-29T00:00:00+0200', 'toDate': '2025-10-12T23:59:59+0200'}]","[{'type': 'Bezeichnung', 'content': 'Berlin 513'}, {'type': 'christmasHintEN', 'content': ' '}, {'type': 'christmasHintDE', 'content': ' '}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '17:30'}, {'type': 'tt_timestamp', 'content': '35172443056739088'}]",,Mo: holiday-holiday; Tu: 09:30-17:30; We: 09:30-17:30; Th: 09:30-17:30; Fr: 09:30-17:30; Sa: 09:30-13:00,52.5727054,13.3084945
10318,Berlin,Karlshorst,,Treskowallee,110,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,Post Karlshorst,4316477,512.0,8,8-4316477,[],[],[],"[{'type': 'christmasHintEN', 'content': ' '}, {'type': 'christmasHintDE', 'content': ' '}, {'type': 'Bezeichnung', 'content': 'Berlin-Karlshorst'}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '18:00'}, {'type': 'tt_timestamp', 'content': '35172443056739088'}]",,Mo: 10:00-18:00; Tu: 10:00-18:00; We: 10:00-18:00; Th: 10:00-18:00; Fr: 10:00-18:00; Sa: 09:00-12:00,52.4825307,13.5252992
14052,Berlin,Westend,,Theodor-Heuss-Platz,4,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,CIGO,4319271,,8,8-4319271,[],[],[],"[{'type': 'christmasHintEN', 'content': ' '}, {'type': 'christmasHintDE', 'content': ' '}, {'type': 'Bezeichnung', 'content': 'Berlin 199'}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '18:00'}, {'type': 'tt_timestamp', 'content': '35172443056739088'}]",,Mo: 08:00-18:00; Tu: 08:00-18:00; We: 08:00-18:00; Th: 08:00-18:00; Fr: 08:00-18:00; Sa: 08:00-14:00,52.5100493,13.2731264
14199,Berlin,Schmargendorf,,Breite Str.,22a,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,NIGHT SHOP 59,4312197,507.0,8,8-4312197,[],[],[],"[{'type': 'christmasHintEN', 'content': ' '}, {'type': 'Bezeichnung', 'content': 'Berlin 33'}, {'type': 'christmasHintDE', 'content': ' '}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '18:30'}, {'type': 'tt_timestamp', 'content': '35172443056739088'}]",,Mo: 09:30-18:30; Tu: 09:30-18:30; We: 09:30-18:30; Th: 09:30-18:30; Fr: 09:30-18:30; Sa: 09:30-15:00,52.4752666,13.2916994
13059,Berlin,Neu-Hohenschönhausen,,Egon-Erwin-Kisch-Str.,34,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,Natürlich Blume,4078173,504.0,8,8-4078173,[],[],[],"[{'type': 'christmasHintEN', 'content': ' '}, {'type': 'christmasHintDE', 'content': ' '}, {'type': 'Bezeichnung', 'content': 'Berlin-Hohenschönhausen 5'}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '17:00'}, {'type': 'tt_timestamp', 'content': '35172443056739088'}]",,Mo: 09:00-17:00; Tu: 09:00-17:00; We: 09:00-17:00; Th: 09:00-17:00; Fr: 09:00-17:00; Sa: 08:00-12:00,52.5727495,13.5055204
12681,Berlin,Marzahn,,Märkische Allee,166-172,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,Tabakwaren-Lotto im Kaufland,4085701,,8,8-4085701,[],[],[],"[{'type': 'Bezeichnung', 'content': 'Berlin-Marzahn 13'}, {'type': 'christmasHintEN', 'content': ' '}, {'type': 'christmasHintDE', 'content': ' '}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '14:00'}, {'type': 'tt_timestamp', 'content': '35172443056739088'}]",,Mo: 08:00-14:00; Tu: 08:00-14:00; We: 08:00-14:00; Th: 08:00-14:00; Fr: 08:00-14:00; Sa: 08:00-13:00,52.5333764,13.5382683
12681,Berlin,Marzahn,,Helene-Weigel-Platz,6,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,Änderungsschneiderei,4133273,535.0,8,8-4133273,[],[],[],"[{'type': 'christmasHintEN', 'content': ' '}, {'type': 'christmasHintDE', 'content': ' '}, {'type': 'Bezeichnung', 'content': 'Berlin-Marzahn 7'}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_openUntil', 'content': '13:00'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openFrom', 'content': '13:30'}, {'type': 'tt_timestamp', 'content': '35172443056739088'}]",,Mo: 09:00-13:00; Tu: 13:30-17:30; We: 09:00-13:00; Th: 09:00-13:00; Fr: 09:00-13:00; Sa: 09:00-12:00,52.5285418,13.5398641
13057,Berlin,Neu-Hohenschönhausen,,Warnitzer Str.,26,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,HalbNeu Technischer An.-Verkauf,4330750,704.0,8,8-4330750,[],[],[],"[{'type': 'christmasHintEN', 'content': ' '}, {'type': 'christmasHintDE', 'content': ' '}, {'type': 'Bezeichnung', 'content': 'Berlin-Hohenschönhausen 12'}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '18:00'}, {'type': 'tt_timestamp', 'content': '35172443056739088'}]",,Mo: 10:00-18:00; Tu: 10:00-18:00; We: 10:00-18:00; Th: 10:00-18:00; Fr: 10:00-18:00; Sa: 10:00-14:00,52.5667681,13.5170517
10318,Berlin,Karlshorst,,Robert-Siewert-Str.,97,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,CAP ...der Lebensmittelpunkt,4129549,884.0,8,8-4129549,[],[],[],"[{'type': 'christmasHintEN', 'content': ' '}, {'type': 'christmasHintDE', 'content': ' '}, {'type': 'Bezeichnung', 'content': 'Berlin-Karlshorst 2'}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '18:00'}, {'type': 'tt_timestamp', 'content': '35172443056739088'}]",,Mo: 09:00-18:00; Tu: 09:00-18:00; We: 09:00-18:00; Th: 09:00-18:00; Fr: 09:00-18:00; Sa: 09:00-15:00,52.4931191,13.5374743
12167,Berlin,Steglitz,,Birkbuschstr.,20,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,Der Magnet im Süden Berlins,4111731,552.0,8,8-4111731,[],[],[],"[{'type': 'christmasHintEN', 'content': ' '}, {'type': 'christmasHintDE', 'content': ' '}, {'type': 'Bezeichnung', 'content': 'Berlin 409'}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '18:00'}, {'type': 'tt_timestamp', 'content': '35172443056739088'}]",,Mo: 08:00-18:00; Tu: 08:00-18:00; We: 08:00-18:00; Th: 08:00-18:00; Fr: 08:00-18:00; Sa: 08:00-14:00,52.4493544,13.3237443
12359,Berlin,Britz,,Gutschmidtstr.,29-31,csbnan7s8n2s3,csbn2s3n1,Postbank Filiale,POSTBANK_FINANCE_CENTER,Postbank Filiale,4068416,511.0,8,8-4068416,[],[],[],"[{'type': 'christmasHintEN', 'content': ' '}, {'type': 'christmasHintDE', 'content': ' '}, {'type': 'Bezeichnung', 'content': 'Berlin-Britz'}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '18:30'}, {'type': 'tt_timestamp', 'content': '35172443056739088'}]",,Mo: 09:00-18:30; Tu: 09:00-18:30; We: 09:00-18:30; Th: 14:00-18:30; Fr: 09:00-18:30; Sa: 09:00-13:00,52.436783,13.4470402
