zip_code,city,street,house_no,location_type,location_name,id,closure_periods,opening_hours,latitude,longitude
10437,Berlin,Gleimstr.,29,RETAIL_OUTLET,Spätkauf Oktar,4328212,[],Mo: 10:00-20:00; Tu: 10:00-20:00; We: 10:00-20:00; Th: 10:00-20:00; Fr: 10:00-20:00; Sa: 10:00-20:00,52.5474814,13.4126957
10557,Berlin,Lehrter Str.,24e,RETAIL_OUTLET,Posty,4340815,[],Mo: 10:00-23:00; Tu: 10:00-23:00; We: 10:00-23:00; Th: 10:00-23:00; Fr: 10:00-23:00; Sa: 10:00-23:00,52.5316046,13.3616137
10967,Berlin,Kottbusser Damm,72,RETAIL_OUTLET,Pen & Paper,4318164,[],Mo: 09:00-23:45; Tu: 09:00-23:45; We: 09:00-23:45; Th: 09:00-23:45; Fr: 09:00-23:45; Sa: 09:00-23:45,52.4897689,13.4243979
10245,Berlin,Rotherstr.,20,RETAIL_OUTLET,Pen & Paper,4296469,[],Mo: 08:00-20:00; Tu: 08:00-20:00; We: 08:00-20:00; Th: 08:00-20:00; Fr: 08:00-20:00; Sa: 10:00-15:00,52.5036094,13.4505738
10409,Berlin,Grellstr.,1a,RETAIL_OUTLET,Presseshop,4337154,[],Mo: 09:00-18:00; Tu: 09:00-18:00; We: 09:00-18:00; Th: 09:00-18:00; Fr: 09:00-18:00; Sa: 10:00-16:00,52.5452922,13.4281401
10785,Berlin,Kurfürstenstr.,153,RETAIL_OUTLET,Kiosk Lotto,4311123,[],Mo: 08:00-20:00; Tu: 08:00-20:00; We: 08:00-20:00; Th: 08:00-20:00; Fr: 08:00-20:00; Sa: 08:00-20:00,52.4994564,13.3635099
13355,Berlin,Brunnenstr.,105,RETAIL_OUTLET,Picobello im Kaufland,4322402,[],Mo: 09:00-19:00; Tu: 09:00-19:00; We: 09:00-19:00; Th: 09:00-19:00; Fr: 09:00-19:00; Sa: 09:00-19:00,52.5476732,13.3890231
10439,Berlin,Schönhauser Allee,79,POSTBANK_FINANCE_CENTER,Postbank Filiale,78430,[],Mo: 10:00-20:00; Tu: 10:00-20:00; We: 10:00-20:00; Th: 10:00-20:00; Fr: 10:00-20:00; Sa: 10:00-17:00,52.549578,13.4147154
10785,Berlin,Lützowstr.,48,RETAIL_OUTLET,Lottoladen Turhan,4314881,[],Mo: 06:00-18:00; Tu: 06:00-18:00; We: 06:00-18:00; Th: 06:00-18:00; Fr: 06:00-18:00; Sa: 08:00-14:00,52.5050459,13.3561429
10783,Berlin,Bülowstr.,27,RETAIL_OUTLET,Pen and Paper,4313641,[],Mo: 09:00-22:00; Tu: 09:00-22:00; We: 09:00-22:00; Th: 09:00-22:00; Fr: 09:00-22:00; Sa: 10:00-22:00,52.4973064,13.3629597
10245,Berlin,Gabriel-Max-Str.,4,RETAIL_OUTLET,Ayse Aykut,4320428,[],Mo: 09:00-17:00; Tu: 09:00-17:00; We: 09:00-17:00; Th: 09:00-17:00; Fr: 09:00-17:00; Sa: 09:00-17:00,52.5100566,13.4583556
10409,Berlin,Greifswalder Str.,90,RETAIL_OUTLET,Post-Shop Prenzlauer Berg,4332251,[],Mo: 09:00-18:00; Tu: 09:00-18:00; We: 09:00-18:00; Th: 09:00-18:00; Fr: 09:00-18:00; Sa: 09:00-13:00,52.5434739,13.4420731
10829,Berlin,Bautzener Str.,25,RETAIL_OUTLET,Minimarkt,4336351,[],Mo: 08:00-20:00; Tu: 08:00-20:00; We: 08:00-20:00; Th: 08:00-20:00; Fr: 08:00-20:00; Sa: 10:00-18:00,52.4906292,13.3709992
